"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.visual_stim_right";"trials_runs.correctKey";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile"
"CBC_1027";"4";"2";"3";"1";"z";"27";"z";"2,62197090000336175";"1";"1";"4";"hard";"0,90";"0,600000000000000";"0,4000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"5";"1";"2";"3";"b";"63";"b";"3,11231080000288785";"1";"1";"4";"hard";"0,90";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"6";"3";"2";"3";"z";"63";"z";"2,29855720000341535";"1";"0";"4";"hard";"0,90";"0,714285714285714";"0,2857142857142857";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"7";"2";"1";"0";"b";"63";"z";"1,74061650000294321";"0";"0";"4";"hard";"0,90";"0,625000000000000";"0,3750000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"8";"0";"0";"2";"b";"27";"b";"2,42849310000383412";"1";"1";"4";"hard";"0,90";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"9";"3";"0";"3";"z";"9";"z";"2,50271930000235443";"1";"1";"4";"hard";"0,90";"0,700000000000000";"0,3000000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"10";"1";"3";"2";"z";"63";"z";"4,46046890000434360";"1";"1";"4";"hard";"0,90";"0,727272727272727";"0,2727272727272727";"0";"1";"0";"0";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"11";"2";"1";"0";"b";"63";"b";"2,60820620000231429";"1";"1";"4";"hard";"0,90";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"12";"3";"3";"2";"b";"63";"z";"1,51609510000344017";"0";"0";"4";"hard";"0,90";"0,692307692307692";"0,3076923076923077";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1027";"13";"1";"3";"2";"z";"63";"b";"2,43226940000386094";"0";"0";"4";"hard";"0,90";"0,642857142857143";"0,3571428571428571";"0";"0";"0";"1";"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
